environment_id,environment_level,host_id,event_day,event_time,event_type,measurement_type,measurement_unit,measurement_quantity
pD6,0,cM9,10,29:00,measurement,Mrs. Denise Garner,mg,8.488089284009487
mH5,8,bU5,3,28:40,measurement,Shannon Ward,mg,13.017470889809365
gI4,11,hE4,5,14:59,allocation,Jose Carroll,mg,8.60612626778796
lZ3,0,cV6,5,18:29,allocation,Brandon Taylor,mg,0.39164346543405615
eA1,8,xP9,10,23:19,measurement,James Lee,mg,8.050944329174282
hV2,14,yN7,6,15:39,allocation,Kathleen Harper,g,9.459419345933947
dJ1,5,lP5,12,21:40,allocation,Dennis Kane,mg,7.163897228398941
sB2,1,xW8,4,16:29,measurement,Carl Hall,mg,12.414209133983892
xS2,5,xK5,10,29:10,measurement,Emily Bates,mg,7.9427580961396345
jZ6,12,gD1,7,23:19,allocation,Carly Young,g,7.299787631069027
rI6,10,iW1,1,20:50,measurement,Kelsey Moody,ml,11.406501583901408
lW2,3,qE1,9,24:40,measurement,David Flores,mg,13.842900045410923
xL7,4,bE4,6,11:20,allocation,Melanie Decker,mg,0.5857470910688178
uG1,6,tB5,12,14:49,measurement,Mr. Thomas Walters,ml,2.47153852189514
iF4,12,rA3,8,16:49,allocation,Melissa Lawrence,g,6.21905468189901
lK1,1,zV9,10,10:59,allocation,Wendy Avery,ml,13.828550529520259
pW1,8,iM3,7,22:40,measurement,Joseph Taylor,g,14.29165917566535
cB4,2,bX7,0,21:00,measurement,Ricky Lee,mg,14.318839316214884
qJ1,12,oU1,13,13:59,measurement,Michelle Keller,mg,11.706003165832982
